bush	kerry	party	previous_vote_share	previous_opposition_vote_share	runningforreelection	unopposed	healthsolutionsnewmexicoact	richardsongovdem	dendahlgovrep	treatment	n	q1favor	q1favorse	q1oppose	q1opposese	q2full	q2fullse	q2reduced	q2reducsedse	q2none	q2nonese	sb24	pres_2party	self_2party	match_category	rep	treatment_highsupport	treatment_lowsupport	lowsupport	full_co	v_richardson	dem_vs	id	s.neg.difs.dw	s.pos.difs.dw	s.difs.dw	neg.difs.dw	pos.difs.dw	difs.dw	pos.exposure.observed.dw	neg.exposure.observed.dw	exposure.observed.dw	i	neg.exposure.expected.0.dw	neg.exposure.expected.1.dw	pos.exposure.expected.0.dw	pos.exposure.expected.1.dw	exposure.expected.0.dw	exposure.expected.1.dw	dwnom_scores	s.neg.difs.rank	s.pos.difs.rank	s.difs.rank	neg.difs.rank	pos.difs.rank	difs.rank	pos.exposure.observed.rank	neg.exposure.observed.rank	exposure.observed.rank	neg.exposure.expected.0.rank	neg.exposure.expected.1.rank	pos.exposure.expected.0.rank	pos.exposure.expected.1.rank	exposure.expected.0.rank	exposure.expected.1.rank	s.neg.difs.sq	s.pos.difs.sq	s.difs.sq	neg.difs.sq	pos.difs.sq	difs.sq	pos.exposure.observed.sq	neg.exposure.observed.sq	exposure.observed.sq	neg.exposure.expected.0.sq	neg.exposure.expected.1.sq	pos.exposure.expected.0.sq	pos.exposure.expected.1.sq	exposure.expected.0.sq	exposure.expected.1.sq	s.neg.difs.geo	s.pos.difs.geo	s.difs.geo	neg.difs.geo	pos.difs.geo	difs.geo	pos.exposure.observed.geo	neg.exposure.observed.geo	exposure.observed.geo	neg.exposure.expected.0.geo	neg.exposure.expected.1.geo	pos.exposure.expected.0.geo	pos.exposure.expected.1.geo	exposure.expected.0.geo	exposure.expected.1.geo
8930	3134	"R"	5760	2539	1	1	"N"	4173	4104	0	171											0			27	1	0	0	1	1			1	"1.28909220535115"	"-1.01811059107956"	"1.53421824850798"	"1.37353123492468"	"-1.00277723496263"	"0.370753999962044"	"8.72125243023038"	"12.9418432537932"	"21.6630956840236"	70								"1.38237279731632"	"-0.704888304131088"	"1.9875526559156"	"1.47260092107165"	"-0.900077591878521"	"0.572523329193135"	"9.35820895522388"	"13.0373134328358"	"22.3955223880597"							"1.0570179232092"	"-0.978599591060788"	"0.981029555410642"	"1.07397767143562"	"-0.977846544274053"	"0.0961311271615664"	"11.3930109196178"	"14.6973447858388"	"26.0903557054566"							"-0.271528166474813"	"0.871544513494217"	"0.37936046133564"	"0.00019766752322592"	"0.50266851156355"	"0.502866179086776"	"1"	"1"	"2"	0.999802332476774	1.00748836267962	0.49733148843645	0.496458206840721	1.49713382091322	1.50394656952034
6994	2514	"R"	3905	2340	1	0	"N"	3326	2952	0	179											1			32	1	0	0	1	1			2	"1.71651635891173"	"-1.78812087122644"	"1.02154996367978"	"1.70441915210152"	"-1.4635528896525"	"0.240866262449021"	"7.38477127626538"	"11.8099713746924"	"19.1947426509578"	70								"1.6589813422593"	"-1.42816604349221"	"1.40497508450534"	"1.67199044388054"	"-1.28234512992624"	"0.389645313954301"	"6.83582089552239"	"10.9626865671642"	"17.7985074626866"							"2.04795412176305"	"-2.14332083573348"	"1.07853839396205"	"1.70639819065939"	"-1.59473314436981"	"0.111665046289573"	"9.87362103473089"	"13.934371358311"	"23.8079923930419"							"-0.249914932830713"	"0.17586233541184"	"-0.0695785263141729"	"0.0172658947796059"	"0.012187690432663"	"0.029453585212269"	"1"	"1"	"2"	0.982734105220394	0.997045499310616	0.987812309567337	1.00590900137877	1.97054641478773	2.00295450068938
8153	2461	"R"	5591		1	1	"N"	3486	3558	1	181											0			33	1	1	0	0	0			3	"1.86608344435235"	"-1.90464246893638"	"1.2033482323771"	"1.82020563952248"	"-1.53327964117075"	"0.286925998351727"	"7.86776961758733"	"12.9999017242808"	"20.8676713418681"	70								"1.92072661717476"	"-1.76441507426473"	"1.43989199347413"	"1.86066597982116"	"-1.46005983365523"	"0.400606146165931"	"8.74626865671642"	"13.2164179104478"	"21.9626865671642"							"1.81446754723635"	"-1.92887018840068"	"0.856138697418501"	"1.55738587189512"	"-1.48115083330049"	"0.0762350385946355"	"10.5748385544111"	"14.7794235172608"	"25.3542620716719"							"-0.917535206368688"	"-0.542758475314367"	"-1.05001189752146"	"-0.509961762930167"	"-0.494465687261018"	"-1.00442745019119"	"0"	"1"	"1"	1.49691910157026	1.50996176293017	0.505664877757901	0.494465687261018	2.00258397932817	2.00442745019119
4528	4792	"D"	5835		1	1	"N"	5563	1571	1	109											1			20	0	0	1	1	1			4	"0.362855803809481"	"-0.762162064411589"	"-0.691423756019941"	"0.656490723370958"	"-0.849617136996349"	"-0.193126413625389"	"10.946008104831"	"11.6007251862902"	"22.5467332911212"	70								"0.441953157377335"	"-1.17798189398145"	"-0.968463935870399"	"0.794712162117422"	"-1.1501175309177"	"-0.35540536880028"	"11.7164179104478"	"12.1865671641791"	"23.9029850746269"							"0.461921765417028"	"-0.530039743984792"	"0.0883127616438974"	"0.694184278431878"	"-0.740269904998494"	"-0.0460856265666152"	"14.3021895055638"	"14.514190836781"	"28.8163803423448"							"-0.905559156195356"	"-1.28467568511532"	"-1.53708023865534"	"-0.500504133897963"	"-1.01754385964912"	"-1.51804799354709"	"0"	"1"	"1"	1.49672683991272	1.50050413389796	0.992461813132315	1.01754385964912	2.48918865304503	2.51804799354709
3084	5173	"D"	5673		0		"Y"	5990	1069	1	85											1			3	0	0	1	1	1			5	"-1.33772240864844"	"1.31636810060895"	"-0.978356444750923"	"-0.660001987742904"	"0.394179371015571"	"-0.265822616727334"	"10.9237338714302"	"5.8360079403501"	"16.7597418117803"	70								"-1.21765525649932"	"1.15986321662045"	"-0.843288046465376"	"-0.401594082726464"	"0.0854829115293079"	"-0.31611117119715"	"12.3432835820896"	"7.96268656716418"	"20.3059701492537"							"-1.39956204852756"	"1.30216845917303"	"-1.27754594542263"	"-0.493824154259864"	"0.230146573865696"	"-0.263677580394166"	"13.4124331711543"	"8.50891365890534"	"21.9213468300597"							"-0.284013103816694"	"-1.2657875562463"	"-1.0589842163098"	"-0.00966183574879231"	"-1.0042270531401"	"-1.01388888888889"	"0"	"1"	"1"	0.996820349761526	1.00966183574879	1.00556438791733	1.0042270531401	2.00238473767886	2.01388888888889
2992	4654	"D"	4629	1802	0		"Excused"	5356	1183	0	141														1	0	0	0	1	1			6	"-0.485165466206373"	"0.65764803843875"	"0.0708482576751244"	"0"	"0"	"0"	"0"	"0"	"0"	70	0	0	0	0	0	0		"-0.660532929730145"	"0.998123385609203"	"0.163718061793074"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	0	0	0	"-0.625791724349958"	"0.867637049464346"	"0.377599443478259"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	0	0	0	"0.370230658989478"	"-1.95098363057607"	"-1.02714365744563"	"0.5070022325959"	"-1.48731479602192"	"-0.98031256342602"	"0"	"1"	"1"	0.4929977674041	0.500492805046324	1.48731479602192	1.50029568302779	1.98031256342602	2.00078848807412
5868	4462	"D"	4313	3728	1	0	"Y"	5275	2759	1	131											1			6	0	0	1	1	1			7	"-1.18004039342803"	"1.01428485374271"	"-1.21004041154761"	"-0.537933374731931"	"0.213412166428276"	"-0.324521208303658"	"12.3679312281311"	"8.57446255045943"	"20.9423937785905"	70								"-1.09076096232038"	"0.933453603973108"	"-0.933097398828078"	"-0.310124049619848"	"-0.034179343379142"	"-0.344303392998992"	"13.0597014925373"	"9.51492537313433"	"22.5746268656716"							"-0.698324456245391"	"0.606122233817805"	"-0.78242081664869"	"-0.0462907582072098"	"-0.138509524263206"	"-0.184800282470412"	"15.0521982698268"	"12.0130186976076"	"27.0652169674344"							"0.367191079698684"	"0.897841011600723"	"0.875270409889267"	"0.504601840736294"	"0.521208483393357"	"1.02581032412965"	"2"	"1"	"3"	0.498200719712115	0.495398159263706	1.50179928028788	1.47879151660664	2.0	1.97418967587035
5628	4639	"D"	4170	3688	1	0	"Y"	5409	2458	1	140											1			9	0	1	0	0	0			8	"-0.814776477737349"	"0.586586122819513"	"-1.10413747422434"	"-0.255166443392344"	"-0.0425235890184794"	"-0.297690032410824"	"11.5296949408948"	"10.1675961639266"	"21.6972911048215"	70								"-0.783314047894466"	"0.550518716970824"	"-0.871838866583274"	"-0.0885051058916897"	"-0.2365685066572"	"-0.325073612548888"	"12.1492537313433"	"10.8432835820896"	"22.9925373134328"							"-0.438047534477754"	"0.348147667873907"	"-0.597397872912808"	"0.119819296351775"	"-0.275143979609672"	"-0.155324683257898"	"14.2294147720413"	"13.6674597315849"	"27.8968745036262"							"0.364274547754581"	"0.14836958425348"	"0.371998550112641"	"0.502298620827504"	"-0.00719568259044578"	"0.495102938237058"	"2"	"1"	"3"	0.501901140684411	0.497701379172497	1.97898739243546	2.00719568259045	2.48088853311987	2.50489706176294
2609	4241	"D"	5007		1	1	"Y"	4956	872	0	88											1			13	0	0	0	0	0			9	"-0.20231520758012"	"-0.0500768731241781"	"-0.73646181522434"	"0.218966879082808"	"-0.423503968549005"	"-0.204537089466196"	"12.304011391243"	"11.7219255459495"	"24.0259369371925"	70								"0.073831218339376"	"-0.535820580607244"	"-0.732601294553678"	"0.5293564487739"	"-0.810721734622526"	"-0.281365285848622"	"12.4776119402985"	"12.544776119403"	"25.0223880597015"							"-0.0433159363440826"	"-0.00645947241885715"	"-0.195004041046056"	"0.371739008851971"	"-0.462959213637069"	"-0.0912202047850919"	"15.2127873824646"	"14.9438897511399"	"30.1566771336045"							"0.371336598064307"	"0.158575708370155"	"0.384110920012801"	"0.507875605815832"	"0"	"0.507875605815832"	"0"	"2"	"2"	1.49212439418417	1.50772583201268	0.0	0.0	1.49212439418417	1.50772583201268
3202	4147	"D"	4345		1	1	"Y"	3738	1504	1	157											1			18	0	1	0	0	0			10	"-1.06437015915378"	"0.848124224885972"	"-1.24905821832809"	"-0.448387937068832"	"0.113981321777036"	"-0.334406615291794"	"11.3215888701379"	"9.37364566582255"	"20.6952345359605"	70								"-0.966784080197267"	"0.82682116370098"	"-0.827941889159299"	"-0.220756993475735"	"-0.0905368367742128"	"-0.311293830249944"	"12.0149253731343"	"10.3208955223881"	"22.3358208955224"							"-0.677676630132551"	"0.560440747508001"	"-0.851578366876937"	"-0.0331132106212184"	"-0.162704409439268"	"-0.195817620060485"	"13.983212286547"	"12.8073165762261"	"26.7905288627731"							"1.01371525692088"	"1.56505294906684"	"1.80553382977925"	"1.01516966067864"	"0.991616766467066"	"2.00678642714571"	"4"	"2"	"6"	1.00841683366733	0.984830339321357	3.02404809619238	3.00838323353293	4.03246492985972	3.99321357285429
