State,District,Name,Party,SB 22,HB 5,SB 487,HB 237,HB 37,HB 618,HB 634,HB 62,HB 342,HB 241,HB 484,HB 484,HB 191,HB 400,HB 147,HB 2,HB 9
NM,1,Rep.  Thomas  C.  Taylor ,Republican,0,0,1,99,1,1,0,0,0,1,1,1,0,1,1,0,0
NM,2,Rep.  James R.J.  Strickler ,Republican,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0
NM,3,Rep.  Paul  C.  Bandy ,Republican,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0
NM,4,Rep.  Ray  Begaye ,Democratic,1,0,0,99,1,0,99,0,1,1,99,99,1,1,1,1,99
NM,5,Rep.  John  Pena ,Democratic,1,1,99,99,1,1,1,1,99,1,99,99,1,1,1,1,1
NM,6,Rep.  George  J.  Hanosh ,Democratic,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
NM,7,Rep.  Andrew  J.  Barreras ,Democratic,1,1,1,1,1,1,1,1,99,1,1,1,1,1,1,1,99
NM,8,Rep.  Elias  Barela ,Democratic,1,1,0,1,99,1,1,1,1,1,0,0,0,99,99,1,1
NM,9,Rep.  Patricia  A.  'Patty'  Lundstrom ,Democratic,1,99,1,1,1,1,1,1,1,1,99,99,0,1,1,1,99
NM,10,Rep.  Henry  'Kiki'  Saavedra ,Democratic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NM,11,Rep.  Rick  S.  Miera ,Democratic,1,1,0,99,1,1,1,1,1,1,1,1,1,1,1,1,1
NM,12,Rep.  Ernest  Henry  Chavez  Sr.,Democratic,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
NM,13,Rep.  Daniel  P.  Silva ,Democratic,1,1,1,1,99,1,1,1,1,1,1,1,0,1,1,1,1
NM,14,Rep.  Miguel  P.  Garcia ,Democratic,1,1,0,1,1,1,99,99,1,1,1,1,1,1,1,1,1
NM,15,Rep.  Teresa  A.  Zanetti ,Republican,99,0,1,99,1,1,0,0,1,0,99,99,99,0,1,99,0
NM,16,Rep.  Antonio  'Moe'  Maestas ,Democratic,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NM,17,Rep.  Edward  C.  Sandoval ,Democratic,1,1,0,99,1,1,1,1,1,1,99,99,99,1,1,1,1
NM,18,Rep.  Gail  Chasey ,Democratic,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NM,19,Rep.  Sheryl  M.  Williams-Stapleton ,Democratic,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
NM,20,Rep.  Richard  J.  Berry ,Republican,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0
NM,21,Rep.  Mimi  Stewart ,Democratic,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
NM,22,Rep.  Kathy  A.  McCoy ,Republican,0,0,1,0,1,0,0,0,1,0,1,1,0,0,99,1,1
NM,23,Rep.  Eric  A.  Youngberg ,Republican,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,99
NM,24,Rep.  Janice  E.  Arnold-Jones ,Republican,0,0,0,99,1,1,0,0,1,1,1,1,0,0,1,1,0
NM,25,Rep.  Danice  R.  Picraux ,Democratic,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NM,26,Rep.  Al  Park ,Democratic,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
NM,27,Rep.  Lorenzo  A.  'Larry'  Larra_aga ,Republican,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0
NM,28,Rep.  Jimmie  Charles  Hall ,Republican,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0
NM,29,Rep.  Thomas  A.  Anderson ,Republican,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0
NM,30,Rep.  Justine  Fox-Young ,Republican,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1
