bush	kerry	party	previous_vote_share	previous_opposition_vote_share	runningforreelection	unopposed	healthsolutionsnewmexicoact	richardsongovdem	dendahlgovrep	treatment	n	q1favor	q1favorse	q1oppose	q1opposese	q2full	q2fullse	q2reduced	q2reducsedse	q2none	q2nonese	sb24	pres_2party	self_2party	match_category	rep
8930	3134	"R"	5760	2539	1	1	"N"	4173	4104	0	171	0.4912281	0.0383423	0.5087719	0.0383423	0.3508772	0.036603	0.5087719	0.0383423	0.1403509	0.0266406	0	0.7402188	0.69405955	27	1
6994	2514	"R"	3905	2340	1	0	"N"	3326	2952	0	179	0.5027933	0.037476	0.4972067	0.037476	0.3407821	0.0355257	0.5418994	0.0373448	0.1173184	0.0241199	1	0.73559105	0.6253002	32	1
8153	2461	"R"	5591		1	1	"N"	3486	3558	1	181	0.5911602	0.0366432	0.4088398	0.0366432	0.4696133	0.0371989	0.4751381	0.0372217	0.0552486	0.0170288	0	0.76813644		33	1
4528	4792	"D"	5835		1	1	"N"	5563	1571	1	109	0.4954128	0.0481105	0.5045872	0.0481105	0.412844	0.0473759	0.4678899	0.0480132	0.1192661	0.0311867	1	0.48583692		20	0
3084	5173	"D"	5673		0		"Y"	5990	1069	1	85	0.5764706	0.0539127	0.4235294	0.0539127	0.2941176	0.049715	0.5529412	0.0542478	0.1529412	0.0392717	1	0.37350127		3	0
2992	4654	"D"	4629	1802	0		"Excused"	5356	1183	0	141	0.4468085	0.0420179	0.5531915	0.0420179	0.3617021	0.0406091	0.5248227	0.0422056	0.1134752	0.026806		0.39131573	0.71979475	1	0
5868	4462	"D"	4313	3728	1	0	"Y"	5275	2759	1	131	0.4503817	0.0436364	0.5496183	0.0436364	0.4045802	0.0430469	0.4732824	0.0437902	0.1221374	0.0287188	1	0.5680542	0.53637606	6	0
5628	4639	"D"	4170	3688	1	0	"Y"	5409	2458	1	140	0.5785714	0.0418825	0.4214286	0.0418825	0.45	0.0421969	0.5	0.0424094	0.05	0.0184858	1	0.548164	0.5306694	9	0
2609	4241	"D"	5007		1	1	"Y"	4956	872	0	88	0.6363636	0.0515735	0.3636364	0.0515735	0.5340909	0.0534809	0.3863636	0.0522028	0.0795455	0.0290101	1	0.38087592		13	0
3202	4147	"D"	4345		1	1	"Y"	3738	1504	1	157	0.4713376	0.0399662	0.5286624	0.0399662	0.5095541	0.0400247	0.3375796	0.037861	0.1528662	0.0288117	1	0.43570554		18	0
2912	7855	"D"	7127		1	1	"Y"	7052	1332	0	188	0.5106383	0.0365553	0.4893617	0.0365553	0.4893617	0.0365553	0.4255319	0.0361558	0.0851064	0.0204054	1	0.27045602		17	0
3154	4389	"D"	4608		1	1	"Y"	4401	1659	1	141	0.6666667	0.039841	0.3333333	0.039841	0.5177305	0.0422311	0.4609929	0.0421289	0.0212766	0.012196	1	0.41813603		11	0
3868	5568	"D"	5548		0		"Y"	5366	1325	1	162	0.5740741	0.0389707	0.4259259	0.0389707	0.5123457	0.0393935	0.3518519	0.0376361	0.1358025	0.026999	1	0.40991947		2	0
2449	5492	"D"	4631	1376	1	0	"Excused"	5600	1173	0	168	0.5119048	0.0386802	0.4880952	0.0386802	0.5	0.0386912	0.3809524	0.0375785	0.1190476	0.0250598	1	0.30839944	0.7709339	7	0
7058	6449	"R"	5711	4934	1	0	"N"	7714	4098	0	165	0.6787879	0.036462	0.3212121	0.036462	0.4424242	0.0387837	0.3636364	0.0375634	0.1939394	0.0308741	1	0.52254385	0.536496	25	1
